article_id,date,title,url,domain,tags,is_commentary,entities,relevance,event_id,burst_start_date,classification_status,summary
1.0,2021-01-03 05:56:39,ステーブルコインとは？JPYC・USDC・銘柄比較・日本規制・買い方【2026】 - bittimes.net,https://bittimes.net/feature/96857.html,bittimes.net,競合・市場環境、解説・論説、制度・規制、市場・統計、提携・連携,1.0,ソニー銀行、SBIホールディングス、3メガバンク（三菱UFJ・みずほ・三井住友）、Circle社,75.0,EVT-20210103-01,2021-01-03,done,"日本初の円建てステーブルコイン「JPYC」が2025年10月に正式発行され4ヶ月で130億円を突破し、ソニー銀行との業務提携やメガバンク3行による実証実験など、ステーブルコインが新たな金融インフラとして急速に普及している。ステーブルコインは法定通貨や実物資産に価値を連動させたデジタル通貨であり、法定通貨担保型・暗号資産担保型・コモディティ担保型・アルゴリズム型の4種類が存在し、2026年時点の世界市場規模は約3,000億ドルに達している。"
2.0,2023-09-09 09:00:00,【Web3転職・副業】JPYCはステーブルコインからグローバルスタンダードを目指す！JPYC岡部さんにこれからのJPY… - PlusWeb3,https://plus-web3.com/media/interview-jpyc/,plus-web3.com,解説・論説,1.0,JPYC株式会社、岡部代表取締役、Circle社、金融庁,85.0,,,done,JPYC株式会社は日本のステーブルコイン市場で99％以上のシェアを持ち、資金決済法に準拠した日本円ステーブルコインJPYCを開発運営しています。同社は日本の決済手数料の高さや複雑な税計算・会計処理の課題を解決し、グローバルスタンダードの決済規格を目指しており、将来的には世界中で同じステーブルコイン規格が使用できる世界の実現を目標としています。
3.0,2025-08-17 17:00:00,国内初の円建てステーブルコイン、金融庁承認へ JPYCが秋にも発行 - 日本経済新聞,https://www.nikkei.com/article/DGXZQOUB146U80U5A810C2000000/,nikkei.com,制度・規制、発行・資金,0.0,JPYC、金融庁、資金移動業,95.0,EVT-20250817-01,2025-08-17,done,金融庁は今秋にも、フィンテック企業のJPYC（東京・千代田）が発行する円建てステーブルコインを国内で初めて認める予定であり、月内にJPYCを資金移動業に登録する。ステーブルコインは法定通貨に価値が連動するもので、世界ではドル建てを中心に市場規模が2500億ドル超に拡大しており、日本でも国際送金の手段などとして普及を目指す。
4.0,2025-08-17 19:37:16,金融庁、日本円建てステーブルコイン「JPYC」承認へ＝日本経済新聞 - CoinPost,https://coinpost.jp/?p=643009,coinpost.jp,制度・規制、解説・論説,1.0,金融庁、岡部典孝、Tether、Circle,95.0,EVT-20250817-01,2025-08-17,done,金融庁がフィンテック企業JPYCの日本円建てステーブルコイン「JPYC」を国内で初めて承認し、月内に同社を資金移動業に登録、その数週間後に販売開始予定である。JPYCは1JPYC=1円の価値を預金や国債などで裏付け、デジタル現金と預金の特性を併せ持つ電子決済手段として機能する予定である。
5.0,2025-08-17 20:28:22,金融庁、国内初の円建てステーブルコインを承認へ──JPYC岡部代表、報道内容認める - NADA NEWS,https://www.nadanews.com/308577/,nadanews.com,制度・規制、発行・資金,0.0,金融庁、岡部典孝、改正資金決済法,95.0,EVT-20250817-01,2025-08-17,done,JPYC社が金融庁から資金移動業として登録を受け、国内初となる円建てステーブルコイン「JPYC」を秋にも発行する予定である。同社が発行するJPYCは1JPYC=1円の価値を維持し、預金や国債を裏付け資産とし、今後3年間で1兆円の発行を目指している。
6.0,2025-08-18 01:00:00,ステーブルコイン発行事業者のJPYC，今月中に資金移動業者として登録へ - bitbank,https://bitbank.cc/knowledge/breaking/article/6l6r1mq72oh,bitbank.cc,制度・規制,0.0,金融庁、資金移動業者、JPYC,85.0,EVT-20250817-01,2025-08-17,done,ステーブルコイン発行事業者のJPYCは今月中に資金移動業者として登録する予定である。日本の金融庁は日本初の円建てステーブルコイン発行を承認する見込みで、早ければ今秋に実現する見通しとなっている。
7.0,2025-08-18 02:00:00,円建てステーブルコイン、国内初承認へ JPYC、秋にも発行 - 日本経済新聞,https://www.nikkei.com/article/DGKKZO90725440Y5A810C2MM8000/,nikkei.com,制度・規制、発行・資金,0.0,金融庁、資金移動業、JPYC,95.0,EVT-20250817-01,2025-08-17,done,金融庁は今秋にもJPYC（東京・千代田）を資金移動業に登録し、円建てステーブルコインの発行を国内で初めて認める。ステーブルコインはブロックチェーン技術を基盤とした暗号資産であり、世界ではドル建てを中心に市場規模が2500億ドル超に拡大している。
8.0,2025-08-18 03:17:56,金融庁、国内初の円建てステーブルコイン「JPYC」を承認へ｜今秋にも販売開始か＝報道 - bittimes.net,https://bittimes.net/news/209564.html,bittimes.net,制度・規制、発行・資金,0.0,金融庁、JPYC社、改正資金決済法、岡部典孝,95.0,EVT-20250817-01,2025-08-17,done,金融庁は2025年8月17日、フィンテック企業JPYC社の円建てステーブルコイン「JPYC」を国内初めて承認する方針を示し、8月中にも資金移動業者として登録され、数週間以内に販売開始予定である。JPYCは1JPYC＝1円の価値を銀行預金や日本国債で裏付けし、電子決済手段として国内外の送金や取引に活用されることが期待されている。
9.0,2025-08-18 06:51:00,金融庁、国内初の円建てステーブルコイン承認へ＝JPYCが今秋発行 - BeInCrypto,https://jp.beincrypto.com/jpyc-yen-backed-stablecoin-to-be-approved-fsa/,jp.beincrypto.com,制度・規制、発行・資金,0.0,金融庁、JPYC（企業）、岡部典孝、資金移動業,95.0,EVT-20250817-01,2025-08-17,done,金融庁はフィンテック企業JPYCが発行する日本円建てステーブルコイン「JPYC」を国内で初めて承認する見通しで、8月中に同社を資金移動業者として登録し、その数週間後にJPYCの販売が始まる予定である。JPYCは「1JPYC＝1円」に設計され、発行残高は預金や国債といった流動性の高い資産によって裏付けられ、金融庁は国際送金やキャッシュレス決済の手段として活用を促す考えである。
10.0,2025-08-18 12:42:56,日本のステーブルコイン完全ガイド【2025年最新】規制・取引所・JPYC承認の全貌解説 - CoinChoice,https://coinchoice.net/japan-stablecoins-complete-guide-2025-latest-regulation-exchanges-jpyc-approval/,coinchoice.net,制度・規制、市場・統計、解説・論説,1.0,金融庁、SBI VCトレード、Circle、改正資金決済法,75.0,EVT-20250817-01,2025-08-17,done,2023年6月の改正資金決済法施行によりステーブルコインは「電子決済手段（EPI）」として制度化され、2025年3月26日にSBI VCトレードがUSDCの一般向け取扱いを開始、同年10月27日にはJPYCが国内初の円建てステーブルコインの発行を開始しました。これにより日本円で円・ドル双方のステーブルコインを購入・償還できる環境が整いました。
